text,spam
"Hello choi683@purdue.edu
*** Please review the list below for any  email. Choose “ and you know to be . Safelist any sender from which you want to receive emails in the future.***
The message(s) below have been blocked by your 
There are 1 new messages in your Email  since you received your last",0
"It is time to start the  to Major (T2M) process for Purdue , if you are planning to complete First-Year  (FYE) by May 2021.",0
"I left a red and black 64GB SanDisk USB in 262 last night and it wasn’t here this morning in the lost and found or at the bench I left it at. 
If you took it or saw it, please reply to this post, thank you!",0
": Use caution with , links, or sharing data ----
Your classmate posted a new Question. 
lab 10 step 8.2
I am having trouble with the writeup for task 2. I have collected xy plots for all the diodes but when I produce the voltage and current curves, I use the voltage and calculate the current by dividing the voltage across the resistor by its , I get a graph that  does not resemble an IV curve. Here is an example of what is happening: 
My XY plot for the RED led diode: 
The excel graph it produces when I plot voltage vs current: 
Click here
 to view. Search or link to this question with @389. 
Follow it
 to get notified when a response comes in. 
Sign up for more classes at 

.
Thanks,
The Piazza Team",0
"Choi, =0
==@piazza.com2025-04-08T06:50:00Your classmate posted a new Question.

Homework:Lesson 7- Section 14.3 - 14.3.23-T - Question about graphing

How do you go about graphing these curves? I was trying to use desmos but it looked nothing like any of the options.

Click here to vie2021-02-04T03:14:20
2021-02-04T03:14::Lesson 7- Section 14.3 - 14.3.23-T - Question about +==Homework:Lesson 7- Section 14.3 - 14.3.23-T - Question about -10E000E00",0
"Purdue Careers

- Map data © 
: $450 weekly
 type: Part-time
We are seeking a Part time  assistant/personal assistant.
*Ideal candidate will be organized, hard-working, self-motivated
*Must have a computer with a fast internet  and a quiet place to work (remote work hours available)
Schedule will be set weekly and can be flexible around other .
Duties include:
-  and  personal  and meetings
- /  contacts for Books
- Booking travel  (flights, hotel, car service, etc.)
- Assisting with certain errands, such as shopping, post office, making payment etc.
If you're reliable, have solid  skills, and are a self-starter , I'd love to talk to you.",0
": Use caution with , links, or sharing data ----
Hello Hojun Choi,
You’ve  submitted Lab 2 Code: Final Code, Computer Network Systems. You may be able to resubmit until the due date (
Mar 26, 2025 at 11:59:00 PM EDT
). 
You will be notified if your grades are made available.",0
"This is to remind you that an  has been scheduled for 06/30/2020 10:15am - 11:00am ET. Details are included below.

Organizer

Anne Jarrard",0
Here's what has happened i2020-11-13T01:10:52,0
"Can someone explain how the above series was evaluated? Where does the ""+ 1"" come from, and why is the 4 negative?",0
